Point ID,Points_0,Points_1,Points_2,Points_Magnitude,,
2001,0,-49,0,49,,2002
4002,0,-48,0,48,,4003
6003,0,-47,0,47,,6004
8004,0,-46,0,46,,8005
10005,0,-45,0,45,,10006
12006,0,-44,0,44,,12007
14007,0,-43,0,43,,14008
16008,0,-42,0,42,,16009
18009,0,-41,0,41,,18010
20010,0,-40,0,40,,20011
22011,0,-39,0,39,,22012
24012,0,-38,0,38,,24013
26013,0,-37,0,37,,26014
28014,0,-36,0,36,,28015
30015,0,-35,0,35,,30016
32016,0,-34,0,34,,32017
34017,0,-33,0,33,,34018
36018,0,-32,0,32,,36019
38019,0,-31,0,31,,38020
40020,0,-30,0,30,,40021
42021,0,-29,0,29,,42022
44022,0,-28,0,28,,44023
46023,0,-27,0,27,,46024
48024,0,-26,0,26,,48025
50025,0,-25,0,25,,50026
52026,0,-24,0,24,,52027
54027,0,-23,0,23,,54028
56028,0,-22,0,22,,56029
58029,0,-21,0,21,,58030
60030,0,-20,0,20,,60031
62031,0,-19,0,19,,62032
64032,0,-18,0,18,,64033
66033,0,-17,0,17,,66034
68034,0,-16,0,16,,68035
70035,0,-15,0,15,,70036
72036,0,-14,0,14,,72037
74037,0,-13,0,13,,74038
76038,0,-12,0,12,,76039
78039,0,-11,0,11,,78040
80040,0,-10,0,10,,80041
82041,0,-9,0,9,,82042
84042,0,-8,0,8,,84043
86043,0,-7,0,7,,86044
88044,0,-6,0,6,,88045
90045,0,-5,0,5,,90046
92046,0,-4,0,4,,92047
94047,0,-3,0,3,,94048
96048,0,-2,0,2,,96049
98049,0,-1,0,1,,98050
100050,0,0,0,0,,100051
102051,0,1,0,1,,102052
104052,0,2,0,2,,104053
106053,0,3,0,3,,106054
108054,0,4,0,4,,108055
110055,0,5,0,5,,110056
112056,0,6,0,6,,112057
114057,0,7,0,7,,114058
116058,0,8,0,8,,116059
118059,0,9,0,9,,118060
120060,0,10,0,10,,120061
122061,0,11,0,11,,122062
124062,0,12,0,12,,124063
126063,0,13,0,13,,126064
128064,0,14,0,14,,128065
130065,0,15,0,15,,130066
132066,0,16,0,16,,132067
134067,0,17,0,17,,134068
136068,0,18,0,18,,136069
138069,0,19,0,19,,138070
140070,0,20,0,20,,140071
142071,0,21,0,21,,142072
144072,0,22,0,22,,144073
146073,0,23,0,23,,146074
148074,0,24,0,24,,148075
150075,0,25,0,25,,150076
152076,0,26,0,26,,152077
154077,0,27,0,27,,154078
156078,0,28,0,28,,156079
158079,0,29,0,29,,158080
160080,0,30,0,30,,160081
162081,0,31,0,31,,162082
164082,0,32,0,32,,164083
166083,0,33,0,33,,166084
168084,0,34,0,34,,168085
170085,0,35,0,35,,170086
172086,0,36,0,36,,172087
174087,0,37,0,37,,174088
176088,0,38,0,38,,176089
178089,0,39,0,39,,178090
180090,0,40,0,40,,180091
182091,0,41,0,41,,182092
184092,0,42,0,42,,184093
186093,0,43,0,43,,186094
188094,0,44,0,44,,188095
190095,0,45,0,45,,190096
192096,0,46,0,46,,192097
194097,0,47,0,47,,194098
196098,0,48,0,48,,196099
198099,0,49,0,49,,198100
200100,0,50,0,50,,200101
