Cell ID,Cell Type,Fr,h,modU,vel_0,vel_1,vel_2,vel_Magnitude,z
0,9,0.798739,0.130344,0.903202,0.903202,0,0,0.903202,4.995
1,9,0.763832,0.133925,0.875516,0.875516,0,0,0.875516,4.985
2,9,0.762318,0.134455,0.875506,0.875506,0,0,0.875506,4.975
3,9,0.760814,0.13503,0.875647,0.875647,0,0,0.875647,4.965
4,9,0.759327,0.135653,0.875947,0.875947,0,0,0.875947,4.955
5,9,0.757845,0.136326,0.876405,0.876405,0,0,0.876405,4.945
6,9,0.756361,0.137054,0.877019,0.877019,0,0,0.877019,4.935
7,9,0.754867,0.137839,0.877791,0.877791,0,0,0.877791,4.925
8,9,0.753357,0.138686,0.878723,0.878723,0,0,0.878723,4.915
9,9,0.751831,0.139599,0.879823,0.879823,0,0,0.879823,4.905
10,9,0.750294,0.140579,0.881102,0.881102,0,0,0.881102,4.895
11,9,0.748753,0.141629,0.882572,0.882572,0,0,0.882572,4.885
12,9,0.74722,0.142752,0.884249,0.884249,0,0,0.884249,4.875
13,9,0.745708,0.143948,0.886148,0.886148,0,0,0.886148,4.865
14,9,0.744232,0.145218,0.888285,0.888285,0,0,0.888285,4.855
15,9,0.742808,0.146561,0.890676,0.890676,0,0,0.890676,4.845
16,9,0.741451,0.147977,0.893333,0.893333,0,0,0.893333,4.835
17,9,0.740174,0.149464,0.896267,0.896267,0,0,0.896267,4.825
18,9,0.738991,0.151022,0.899486,0.899486,0,0,0.899486,4.815
19,9,0.737911,0.152649,0.902995,0.902995,0,0,0.902995,4.805
20,9,0.736944,0.154341,0.906796,0.906796,0,0,0.906796,4.795
21,9,0.736094,0.156097,0.91089,0.91089,0,0,0.91089,4.785
22,9,0.735367,0.157915,0.915272,0.915272,0,0,0.915272,4.775
23,9,0.734764,0.159792,0.919939,0.919939,0,0,0.919939,4.765
24,9,0.734286,0.161724,0.924884,0.924884,0,0,0.924884,4.755
25,9,0.733932,0.16371,0.930097,0.930097,0,0,0.930097,4.745
26,9,0.7337,0.165747,0.935568,0.935568,0,0,0.935568,4.735
27,9,0.733585,0.167832,0.941288,0.941288,0,0,0.941288,4.725
28,9,0.733585,0.169963,0.947244,0.947244,0,0,0.947244,4.715
29,9,0.733694,0.172137,0.953424,0.953424,0,0,0.953424,4.705
30,9,0.733907,0.174351,0.959816,0.959816,0,0,0.959816,4.695
31,9,0.734218,0.176604,0.966407,0.966407,0,0,0.966407,4.685
32,9,0.734622,0.178894,0.973186,0.973186,0,0,0.973186,4.675
33,9,0.735112,0.181218,0.980141,0.980141,0,0,0.980141,4.665
34,9,0.735684,0.183573,0.987258,0.987258,0,0,0.987258,4.655
35,9,0.736331,0.185959,0.994528,0.994528,0,0,0.994528,4.645
36,9,0.737049,0.188374,1.00194,1.00194,0,0,1.00194,4.635
37,9,0.737831,0.190815,1.00948,1.00948,0,0,1.00948,4.625
38,9,0.738673,0.193281,1.01714,1.01714,0,0,1.01714,4.615
39,9,0.73957,0.195771,1.02492,1.02492,0,0,1.02492,4.605
40,9,0.740517,0.198283,1.03279,1.03279,0,0,1.03279,4.595
41,9,0.741511,0.200816,1.04076,1.04076,0,0,1.04076,4.585
42,9,0.742546,0.203368,1.04882,1.04882,0,0,1.04882,4.575
43,9,0.74362,0.205939,1.05695,1.05695,0,0,1.05695,4.565
44,9,0.744729,0.208527,1.06516,1.06516,0,0,1.06516,4.555
45,9,0.74587,0.21113,1.07343,1.07343,0,0,1.07343,4.545
46,9,0.747039,0.213749,1.08176,1.08176,0,0,1.08176,4.535
47,9,0.748234,0.216382,1.09014,1.09014,0,0,1.09014,4.525
48,9,0.749452,0.219028,1.09857,1.09857,0,0,1.09857,4.515
49,9,0.750691,0.221687,1.10705,1.10705,0,0,1.10705,4.505
50,9,0.751948,0.224357,1.11556,1.11556,0,0,1.11556,4.495
51,9,0.753223,0.227038,1.12411,1.12411,0,0,1.12411,4.485
52,9,0.754511,0.229729,1.13268,1.13268,0,0,1.13268,4.475
53,9,0.755813,0.23243,1.14129,1.14129,0,0,1.14129,4.465
54,9,0.757126,0.23514,1.14991,1.14991,0,0,1.14991,4.455
