Points_0,Points_1,Points_2,Points_Magnitude,Point,ID,,
0,-50,0,50,0,,,1
0,-48,0,48,501,,,502
0,-46,0,46,1002,,,1003
0,-44,0,44,1503,,,1504
0,-42,0,42,2004,,,2005
0,-40,0,40,2505,,,2506
0,-38,0,38,3006,,,3007
0,-36,0,36,3507,,,3508
0,-34,0,34,4008,,,4009
0,-32,0,32,4509,,,4510
0,-30,0,30,5010,,,5011
0,-28,0,28,5511,,,5512
0,-26,0,26,6012,,,6013
0,-24,0,24,6513,,,6514
0,-22,0,22,7014,,,7015
0,-20,0,20,7515,,,7516
0,-18,0,18,8016,,,8017
0,-16,0,16,8517,,,8518
0,-14,0,14,9018,,,9019
0,-12,0,12,9519,,,9520
0,-10,0,10,10020,,,10021
0,-8,0,8,10521,,,10522
0,-6,0,6,11022,,,11023
0,-4,0,4,11523,,,11524
0,-2,0,2,12024,,,12025
0,0,0,0,12525,,,12526
0,2,0,2,13026,,,13027
0,4,0,4,13527,,,13528
0,6,0,6,14028,,,14029
0,8,0,8,14529,,,14530
0,10,0,10,15030,,,15031
0,12,0,12,15531,,,15532
0,14,0,14,16032,,,16033
0,16,0,16,16533,,,16534
0,18,0,18,17034,,,17035
0,20,0,20,17535,,,17536
0,22,0,22,18036,,,18037
0,24,0,24,18537,,,18538
0,26,0,26,19038,,,19039
0,28,0,28,19539,,,19540
0,30,0,30,20040,,,20041
0,32,0,32,20541,,,20542
0,34,0,34,21042,,,21043
0,36,0,36,21543,,,21544
0,38,0,38,22044,,,22045
0,40,0,40,22545,,,22546
0,42,0,42,23046,,,23047
0,44,0,44,23547,,,23548
0,46,0,46,24048,,,24049
0,48,0,48,24549,,,24550
0,50,0,50,25050,,,25051
